cik,file_date,total_word_count,H4N_Inf_Neg_count,Fin_Neg_Neg_count,pct_of_neg_words_H4N_Inf,pct_of_neg_words_Fin_Neg,tfidf_H4N_Inf,tfidf_Fin_Neg
0000820313,2021-10-29,27817,738,213,0.026530538879102707,0.007657188050472732,5.576815142777979,5.695562972845673
0000820313,2021-07-30,26349,714,195,0.027097802573152682,0.007400660366617329,5.43286163789938,5.679839636376771
0000820313,2021-04-30,19945,612,153,0.030684382050639256,0.007671095512659814,5.695928028771581,7.105597649382582
0000820313,2020-10-23,25885,654,181,0.025265597836584896,0.006992466679544137,5.366844692207408,5.6401732533037965
0000820313,2020-07-24,25009,662,179,0.026470470630572993,0.007157423327602063,5.4240732812239125,5.907641043116641
0000820313,2020-04-24,20720,626,174,0.030212355212355213,0.008397683397683398,5.58578979936021,5.992739591789158
0000820313,2019-10-25,24578,584,118,0.02376108715111075,0.004801041581902515,5.005777190295426,5.791526048232857
0000820313,2019-07-26,22569,555,92,0.024591253489299483,0.004076387965793788,4.916392999992594,6.474329620056753
0000820313,2019-04-26,12887,512,91,0.03972996042523473,0.007061379684953829,5.147642807215826,6.3542278625543425
0000820313,2018-10-26,15285,677,98,0.04429178933595028,0.006411514556754989,3.78504369870075,6.208394717414398
0000820313,2018-07-31,14121,684,81,0.04843849585723391,0.0057361376673040155,3.622918179503106,5.692093611811406
0000820313,2018-05-03,11984,588,76,0.04906542056074766,0.006341789052069426,3.8373731694854056,5.704740101655701
0000820313,2017-11-02,11756,416,69,0.035386185777475335,0.005869343314052399,5.008954972121504,4.479021560098344
0000820313,2017-08-03,11116,380,55,0.034184958618207986,0.0049478229578985245,4.662208697522503,4.477829921940581
0000820313,2017-05-04,10089,379,59,0.037565665576370304,0.005847953216374269,4.732839260258599,4.3185900279457226
0000820313,2016-11-03,10547,361,54,0.034227742486014984,0.005119939319237698,4.858233175496096,4.624420719034294
0000820313,2016-08-04,9546,322,45,0.03373140582442908,0.004714016341923318,4.991421409894819,4.5191593229149385
0000820313,2016-05-05,8713,320,51,0.03672673017330426,0.005853322621370366,5.277004335110948,4.02589718781869
0000816284,2019-02-26,62683,3445,1547,0.054959079814303716,0.024679737727932614,8.119005718979233,8.862557994362955
0000816284,2018-02-07,55607,3069,1114,0.05519089323286636,0.020033449026201737,7.021175155801596,9.45640132334194
0000816284,2017-02-10,49436,2699,987,0.05459584108746662,0.019965207541063193,7.4677692748805065,10.159013496437794
0000816284,2016-02-11,48730,2662,999,0.054627539503386,0.0205007182433819,7.807727146651375,10.370842459967282
0000816284,2019-10-31,61449,2212,1049,0.03599733112011587,0.01707106706374392,7.733693620859404,6.915152421692572
0000816284,2019-07-30,59659,2200,1076,0.03687624666856635,0.018035837006989724,7.817337302017872,6.9530340926426275
0000816284,2019-04-25,35496,2066,1057,0.05820374126662159,0.0297780031552851,8.207475085172671,7.368609577697182
0000816284,2018-10-25,36230,2029,916,0.05600331217223296,0.025282914711565,7.279057298277555,7.279938192207924
0000816284,2018-07-26,34867,1932,834,0.05541056012848825,0.023919465397080335,7.09007907419225,7.75999534369444
0000816284,2018-05-04,30879,1739,791,0.0563165905631659,0.025616114511480294,7.3783763381090655,7.562643235203511
0000816284,2017-10-26,31370,1809,721,0.057666560408033155,0.022983742429072362,6.820312951184718,8.249937364549972
0000816284,2017-07-27,26226,1576,634,0.0600930374437581,0.024174483337146342,7.080954149199226,8.870369868063417
0000816284,2017-04-27,21929,1379,581,0.06288476446714396,0.026494596196817,7.112484930816829,9.07913563189749
0000816284,2016-10-27,30154,1808,711,0.05995887776082775,0.02357896133182994,7.267706964033286,9.552728995686834
0000816284,2016-07-28,28523,1738,690,0.060933281912842266,0.024191003751358554,7.402874963902436,9.27528262304887
0000816284,2016-05-03,24263,1557,656,0.06417178419816182,0.027037052301858797,7.639292275542318,9.379721485880024
0000912093,2021-08-23,51270,2354,914,0.04591378974058904,0.017827189389506535,7.406358890077716,8.780727974408656
0000912093,2020-08-24,54398,2408,925,0.04426633332107798,0.01700430162873635,6.99152106407294,7.774099312183675
0000912093,2019-08-27,60317,2451,919,0.040635310111577165,0.01523616890760482,6.627507404106738,6.909966925161536
0000912093,2018-08-28,40266,2527,950,0.06275766155068793,0.02359310584612328,6.467246778004082,6.753190485665457
0000912093,2017-08-29,38313,2428,903,0.06337274554328817,0.02356902356902357,6.445522459480651,6.241355354574897
0000912093,2016-08-30,37768,2361,910,0.06251323872061004,0.024094471510273247,6.397600742315146,6.175386541025192
0000912093,2021-11-08,28438,1234,604,0.043392643645826005,0.021239187003305435,9.030924211935726,9.360407932579601
0000912093,2021-05-07,33048,1397,635,0.0422718470104091,0.019214475913822318,8.632679935034616,9.11322598341731
0000912093,2021-02-09,32721,1365,627,0.041716328963051254,0.019162006051159804,8.699804208385986,9.253584722421877
0000912093,2020-11-10,26581,1127,537,0.04239870584251909,0.020202400210676798,8.607486076302258,8.84125500448139
0000912093,2020-05-07,29425,746,237,0.025352591333899745,0.008054375531011045,5.986166519194066,6.532862056998441
0000912093,2020-02-06,27661,647,188,0.023390332959762842,0.006796572792017642,5.897445296703488,5.551727973528578
0000912093,2019-11-05,21790,576,180,0.02643414410279945,0.008260670032124828,5.530182760524465,5.522397576607209
0000912093,2019-05-08,14365,692,187,0.048172641837800206,0.01301775147928994,5.279893507826682,4.5890889936668025
0000912093,2019-02-06,14491,702,193,0.048443861707266576,0.013318611551997792,5.359638344228387,4.31124726337918
0000912093,2018-11-07,13508,636,194,0.04708320994965946,0.014361859638732603,5.351667620003511,4.578839652357084
0000912093,2018-05-09,14478,786,237,0.05428926647326979,0.016369664318276005,5.188532117225304,4.213032489281442
0000912093,2018-02-07,14540,790,258,0.054332874828060526,0.017744154057771664,5.232898444271262,4.333078057450581
0000912093,2017-11-08,11731,606,185,0.05165800017048845,0.01577018157019862,5.455576346779531,4.489870232065547
0000912093,2017-05-09,15324,809,257,0.052793004437483686,0.016771078047507177,5.254119121055577,4.267563658218926
0000912093,2017-02-07,13714,773,248,0.05636575761995041,0.018083710077293275,5.148299498523285,4.00513456710995
0000912093,2016-11-08,11848,632,198,0.053342336259284265,0.016711681296421338,5.272282098405359,4.460664003166236
0000912093,2016-05-10,15239,845,244,0.055449832666185445,0.016011549314259466,5.122774315954716,3.6374296781990614
0000079879,2021-02-18,48121,1809,670,0.037592734980569815,0.01392323517798882,7.34547137749559,9.268483447382838
0000079879,2020-02-20,45991,1622,593,0.035267769781044116,0.012893827053119089,7.062417226600331,8.931335764270187
0000079879,2019-02-21,29701,1759,607,0.059223595165145956,0.020437022322480725,6.616997222301215,8.774314263632405
0000079879,2018-02-15,28512,1631,509,0.05720398428731762,0.017852132435465767,6.442691138729894,8.284088050350764
0000079879,2017-02-16,33051,1691,574,0.05116335360503464,0.01736709933133642,6.408353913074745,8.158815844569219
0000079879,2016-02-18,32294,1709,600,0.05292004706756673,0.01857930265684028,6.65165019356165,7.442950426089759
0000079879,2021-10-21,24362,810,295,0.033248501765043924,0.01210902224776291,6.384802875179372,5.876058188705747
0000079879,2021-07-20,22549,763,268,0.03383742072819194,0.01188522772628498,6.309747847100441,6.0005425176303495
0000079879,2021-04-16,18750,682,268,0.036373333333333334,0.014293333333333333,6.893953360961343,6.168749653048884
0000079879,2020-10-20,23557,832,337,0.035318588954450905,0.014305726535636965,6.822185825924795,6.827772603500135
0000079879,2020-07-17,21865,835,339,0.03818888634804482,0.015504230505373886,6.712892556653262,6.533299148941514
0000079879,2020-04-28,18385,712,299,0.0387272232798477,0.01626325809083492,7.061865504258333,6.9375420317949
0000079879,2019-10-18,23977,723,284,0.030153897485089877,0.011844684489302247,6.762855577236541,6.2159275145349
0000079879,2019-07-19,21511,703,260,0.03268095393054716,0.012086839291525266,6.576943734143258,5.851487705962277
0000079879,2019-04-19,10679,626,244,0.058619720947654275,0.022848581327839686,6.924825243096335,6.103308845165703
0000079879,2018-10-19,13390,715,315,0.05339805825242718,0.02352501867064974,6.141719462802083,5.787198379249141
0000079879,2018-07-20,12628,694,298,0.05495723788406715,0.02359835286664555,5.946795857005842,5.76642781261057
0000079879,2018-06-28,12216,674,294,0.055173542894564505,0.02406679764243615,6.515641585407054,5.814891835876512
0000079879,2017-10-20,11017,618,231,0.05609512571480439,0.020967595534174457,6.304911484733314,5.893193398060998
0000079879,2017-07-21,10701,587,217,0.05485468647789926,0.020278478646855433,6.198277628640097,5.571708816251563
0000079879,2017-04-24,9944,548,209,0.05510860820595334,0.02101769911504425,6.368123852900963,5.637737520816751
0000079879,2016-10-21,13068,716,232,0.05479032751760025,0.01775329048056321,5.942687101250938,6.268745922127298
0000079879,2016-07-22,13621,758,272,0.05564936495117833,0.01996916525952573,6.078304759142648,4.540982435564777
0000079879,2016-04-21,11891,680,276,0.05718610713985367,0.02321083172147002,6.168802446880179,4.687364720423981
0000021665,2021-02-18,51879,2243,761,0.043235220416738954,0.014668748433855702,6.989407734606134,8.468226581311772
0000021665,2020-02-21,51304,1875,662,0.03654685794479962,0.012903477311710588,6.444814261245813,7.7635433387822825
0000021665,2019-02-21,32783,2073,640,0.06323399322819755,0.019522313394137205,5.907425843697068,7.5280959451752345
0000021665,2018-02-15,32986,2061,638,0.06248105256775602,0.019341538834657127,5.946264527289571,7.669458153707442
0000021665,2017-02-23,32060,1997,710,0.06228945726762321,0.022145976294447912,6.012181318181386,6.01151044803958
0000021665,2016-02-18,31804,1977,704,0.06216199220223871,0.022135580430134576,6.239977636779335,5.831791146073463
0000021665,2021-10-29,23749,766,200,0.032253989641669124,0.008421407217145986,5.475354137829685,5.715234786384289
0000021665,2021-07-30,23260,744,189,0.03198624247635426,0.008125537403267411,5.334949598398141,6.18310937894104
0000021665,2021-04-30,17388,614,178,0.035311709224752706,0.010236945019553715,5.67116982166684,6.287411149270751
0000021665,2020-10-30,27174,797,237,0.029329506145580334,0.008721572090969309,5.947938602154757,6.320622714393389
0000021665,2020-07-31,26405,822,248,0.03113046771444802,0.009392160575648551,6.1093172909844835,6.189036262976971
0000021665,2020-05-01,19874,670,206,0.03371238804468149,0.010365301398812518,6.0903777180777485,6.178544074849471
0000021665,2019-11-01,30241,884,234,0.02923183757150888,0.007737839357164115,4.788167917991656,5.439730974494214
0000021665,2019-07-26,28825,852,229,0.02955767562879445,0.007944492627927147,4.943676204662525,5.396133355605631
0000021665,2019-04-26,12599,724,194,0.05746487816493372,0.015398047464084451,4.853167475159091,5.256727855027163
0000021665,2018-10-26,17058,999,220,0.05856489623637003,0.012897174346347755,4.463257378662607,5.050884935100877
0000021665,2018-07-27,16473,958,207,0.058155770047957266,0.012566017118921873,4.555417434149108,4.960865168378677
0000021665,2018-04-27,14257,836,190,0.058637862102826684,0.013326786841551518,4.671027332987988,5.224492540632964
0000021665,2017-10-27,16501,966,246,0.058541906551118114,0.014908187382582873,4.853914073267647,5.197951098285724
0000021665,2017-07-21,16494,999,325,0.06056747908330302,0.019704134836910393,4.886478909162961,3.513819635164255
0000021665,2017-04-28,13735,810,258,0.058973425555151074,0.01878412813978886,5.0919885576982695,3.4006934924244687
0000021665,2016-10-27,16637,969,318,0.058243673739255875,0.01911402296087035,4.793602662075548,3.5059644497323874
0000021665,2016-07-28,16337,958,309,0.05863989716594234,0.01891412131970374,4.898145548992513,3.4623906560885764
0000021665,2016-04-28,13391,751,259,0.056082443432155925,0.01934134866701516,5.243842229455544,3.3614813346454735
0000310158,2021-02-25,99609,3323,1288,0.03336043931773233,0.012930558483671153,7.862999710949919,9.7239207853199
0000310158,2020-02-26,99286,3010,1140,0.030316459520979794,0.011481981346816269,7.672833701746145,9.451305117649024
0000310158,2019-02-27,53993,3349,1272,0.06202655899838868,0.023558609449373068,7.869325952440342,9.433729124621102
0000310158,2018-02-27,53356,3319,1319,0.06220481295449434,0.02472074368393433,8.012821081171264,9.08961801071958
0000310158,2017-02-28,54405,3285,1394,0.060380479735318446,0.025622644977483688,8.091696487980428,8.640055544624339
0000310158,2016-02-26,59635,3559,1574,0.0596797182862413,0.026393896201894862,8.577409915539254,8.509402346082677
0000310158,2021-11-05,51159,1174,430,0.02294806387927833,0.008405168201098536,6.530398140123177,6.6079925701209845
0000310158,2021-08-09,48177,1105,414,0.022936255889739916,0.00859331216140482,6.348919328637086,6.5493508559670985
0000310158,2021-05-05,37581,1062,404,0.028258960645006784,0.010750113089060962,6.342272470199537,6.581222025890025
0000310158,2020-11-05,58898,1300,470,0.02207205677612143,0.007979897449828518,6.295196648117937,6.675055521104342
0000310158,2020-08-05,60724,1162,434,0.01913576180752256,0.007147091759436138,6.342921458592801,6.222715259131181
0000310158,2020-05-06,39876,1010,411,0.025328518407061892,0.010306951549804393,6.556725916343293,6.865453823224558
0000310158,2019-11-05,59301,1083,392,0.01826276116760257,0.006610343839058363,6.099939339529164,6.065091360194815
0000310158,2019-08-06,57952,1019,386,0.017583517393705134,0.006660684704583103,5.811938517355809,5.8948318257292485
0000310158,2019-05-08,16454,1001,386,0.06083627081560715,0.023459341193630728,6.322963287984045,6.073930793208794
0000310158,2018-11-06,22520,1341,438,0.059547069271758436,0.019449378330373003,6.477907162967176,6.729968645833157
0000310158,2018-08-07,20774,1206,417,0.058053335900645035,0.02007316838355637,6.334473118347278,7.302147415036187
0000310158,2018-05-08,18201,1161,425,0.06378770397230922,0.02335036536454041,6.4270046089422195,7.26951919772237
0000310158,2017-11-07,21411,1293,485,0.06038951940591285,0.022651907897809537,6.438728007165198,6.663080592899444
0000310158,2017-08-08,20551,1228,529,0.05975378327088706,0.02574083986180721,6.853121022492228,6.850773044244234
0000310158,2017-05-09,16369,1028,445,0.06280163724112652,0.02718553363064329,6.441048475210356,6.3775731535766695
0000310158,2016-11-07,24351,1389,605,0.05704077861278797,0.024844975565685188,6.807351494011973,6.537731114152445
0000310158,2016-08-08,22616,1308,567,0.05783516094800142,0.02507074637424832,6.66942067077507,6.508191721546621
0000310158,2016-05-09,19237,1220,579,0.06341945209752041,0.0300982481675937,6.814470689809318,6.568014474569586
0001075531,2021-02-24,71949,4429,1689,0.061557492112468554,0.023474961431013634,6.516387838287143,8.75760823171059
0001075531,2020-02-26,58951,3289,1099,0.05579209852250174,0.018642601482587232,5.769945252982724,8.675440712184765
0001075531,2019-02-27,46588,3336,1047,0.07160642225465785,0.022473598351506825,5.554124689781124,8.44833920051515
0001075531,2018-02-27,50110,3594,1074,0.0717222111355019,0.021432847734983038,5.4175813978486325,8.627818106109952
0001075531,2017-02-27,46718,3322,1067,0.0711074960400702,0.022839162635386788,5.821400334720742,8.529116378134699
0001075531,2016-02-17,49994,3563,1106,0.07126855222626716,0.02212265471856623,5.703231098764774,8.532505730500231
0001075531,2021-11-03,61027,3612,1423,0.059186917266128104,0.023317547970570403,6.901846493999177,8.799260199266069
0001075531,2021-08-04,61707,3602,1436,0.05837263195423534,0.023271265820733467,6.937030552691254,8.612153993930821
0001075531,2021-05-05,53202,3334,1374,0.0626668170369535,0.025826096763279575,6.9777246099740085,8.590051258052732
0001075531,2020-11-05,59900,3586,1453,0.05986644407345576,0.024257095158597662,6.866184602944491,8.27063529601074
0001075531,2020-08-06,55742,3373,1344,0.06051092533457716,0.024111083204764808,6.864601330705904,8.1996522859438
0001075531,2020-05-07,52110,3121,1255,0.0598925350220687,0.02408366916138937,6.9684548902681245,8.103478470053396
0001075531,2019-11-07,47588,2590,920,0.05442548541649155,0.019332604858367654,6.178071648159073,8.389675661428903
0001075531,2019-08-07,46234,2527,905,0.05465674611757581,0.019574339230869056,6.268139437617769,8.439282246002957
0001075531,2019-05-09,30361,2459,886,0.08099206218504001,0.029182174500181155,6.5126129617974815,8.34141096686379
0001075531,2018-11-05,36576,2667,881,0.07291666666666667,0.024086832895888016,5.794642476046551,8.237980689645385
0001075531,2018-08-09,35693,2599,870,0.07281539797719441,0.024374527218222062,5.821905285443007,8.318168252721485
0001075531,2018-05-09,33124,2477,824,0.0747796159884072,0.02487622267842048,5.848606013764284,8.295634477024036
0001075531,2017-11-07,34118,2455,896,0.0719561521777361,0.026261797291752154,6.477605207252719,8.781062479134429
0001075531,2017-08-08,32358,2402,873,0.07423202917362012,0.026979417763767846,6.522868574694426,8.843507524309617
0001075531,2017-05-09,30895,2369,856,0.07667907428386471,0.027706748664832498,6.488202137221579,8.68539388034528
0001075531,2016-11-07,34101,2595,940,0.07609747514735639,0.027565174041816954,6.440806082984855,8.580094880893267
0001075531,2016-08-04,32041,2485,889,0.0775568802471833,0.02774570082082332,6.426208411824618,8.544324576912818
0001075531,2016-05-04,29645,2352,848,0.07933884297520662,0.02860516107269354,6.423986140048413,8.506476283563924
0000107263,2021-02-24,73205,3083,1190,0.04211460965781026,0.016255720237688683,7.426999430450794,8.554302172179657
0000107263,2020-02-24,74471,2676,958,0.03593345060493346,0.012864067892199647,7.037120825241054,8.21731102639276
0000107263,2019-02-21,42089,2910,1009,0.06913920501793817,0.023973009574948325,6.744717014457851,8.29366735254487
0000107263,2018-02-22,42806,2873,1123,0.06711675933280381,0.026234640003737795,7.266946914578316,8.569641279047076
0000107263,2017-02-22,43899,2819,1153,0.06421558577644138,0.02626483518986765,7.533558606540635,8.669722131910499
0000107263,2016-02-26,55762,3276,1175,0.05874968616620638,0.021071697571823107,7.698037741098348,9.279020421645143
0000107263,2021-11-01,40205,1011,388,0.02514612610371844,0.009650540977490362,6.9885397615038105,6.786958970657658
0000107263,2021-08-02,31665,796,298,0.025138165166587716,0.00941102163271751,6.962914601039007,7.179085896240776
0000107263,2021-05-03,22147,642,265,0.028988124802456314,0.01196550322842823,7.4182061543018705,7.61272147789411
0000107263,2020-11-02,37631,1283,512,0.0340942308203343,0.013605803725651724,6.507142552984385,6.379638521017426
0000107263,2020-08-03,38566,1100,426,0.02852253280091272,0.01104599906653529,6.407376969204435,6.117404351362806
0000107263,2020-05-04,26582,838,342,0.03152509216763223,0.01286584907079979,7.376840606624907,7.3460800869209715
0000107263,2019-10-31,42148,1068,398,0.025339280630160388,0.00944291544082756,6.382056700476852,5.984338993638605
0000107263,2019-08-01,40867,984,383,0.024078107030122104,0.009371864829813786,6.437133450298128,6.103059445640826
0000107263,2019-05-02,13434,792,330,0.05895489057615007,0.02456453774006253,7.45660649280839,7.145658361429339
0000107263,2018-11-01,21362,1392,495,0.06516243797397248,0.023171987641606592,5.674512665635479,6.501693329219235
0000107263,2018-08-02,19826,1314,490,0.06627660647634419,0.024715020679915264,5.978093380474467,6.563653291348728
0000107263,2018-05-03,16391,1060,398,0.06466963577573058,0.0242816179610762,6.132400448409986,7.1053023711352825
0000107263,2017-11-02,17558,1111,546,0.06327599954436725,0.031096935869689032,6.755506122707288,6.3165577910690365
0000107263,2017-08-03,15773,1002,477,0.06352627908451151,0.030241552019273442,6.5086897881461425,6.137538782008123
0000107263,2017-05-04,13686,799,375,0.058380827122607046,0.027400263042525207,7.093244899000178,7.202997232942653
0000107263,2016-10-31,19137,1236,596,0.06458692585044677,0.03114385744892094,6.912338922924619,7.084790921229713
0000107263,2016-08-02,18109,1196,569,0.06604450825556353,0.031420840466066594,6.895905616855783,7.271237255492342
0000107263,2016-05-05,14996,815,396,0.05434782608695652,0.02640704187783409,7.486025586019341,7.589275623675363
0001014473,2021-02-19,25376,1669,592,0.06577080706179067,0.023329129886506934,6.036628044124303,8.464272299878424
0001014473,2020-02-14,25314,1557,580,0.06150746622422375,0.022912222485581103,6.223775607009281,8.711026058812724
0001014473,2019-02-15,23461,1786,575,0.07612633732577469,0.024508759217424663,5.715447783058135,8.39728401195928
0001014473,2018-02-16,23984,1853,583,0.07725983989326217,0.02430787191460974,5.706115099628659,8.605853436712689
0001014473,2017-02-17,24056,1797,582,0.0747006983704689,0.024193548387096774,6.019601051055185,8.606919605484743
0001014473,2016-02-19,24627,1842,571,0.07479595565842369,0.02318593413732895,5.567629068988579,7.903364857608279
0001014473,2021-10-28,9016,330,64,0.03660159716060337,0.00709849157054126,4.096670879709523,3.6692840695025404
0001014473,2021-07-22,9198,330,76,0.03587736464448793,0.008262665796912372,4.486039670553119,4.624742293309918
0001014473,2021-04-22,7095,264,55,0.037209302325581395,0.007751937984496124,4.431466496531735,4.522090876168241
0001014473,2020-10-22,15357,1060,497,0.06902389789672463,0.032363091749690695,6.732551325473053,8.454645755827798
0001014473,2020-07-23,15104,1016,490,0.06726694915254237,0.03244173728813559,6.70910626813943,8.451862090384004
0001014473,2020-04-23,12926,924,441,0.07148383103821755,0.03411728299551292,6.518351440081746,8.083526927290789
0001014473,2019-10-24,14834,990,428,0.0667385735472563,0.028852635836591613,6.161813556648917,8.082534200071839
0001014473,2019-07-25,14702,979,424,0.06658957964902734,0.028839613658005712,6.212676787728588,8.049517615983843
0001014473,2019-04-25,11039,948,420,0.08587734396231543,0.03804692454026633,6.224707379572529,8.051455194208899
0001014473,2018-10-25,12763,1079,425,0.08454125205672647,0.03329938102327039,6.025432594899002,7.925904539019954
0001014473,2018-07-26,12435,1071,415,0.08612786489746682,0.03337354242058705,5.9251394239445005,7.807984813667515
0001014473,2018-04-26,11947,1024,418,0.08571189419938059,0.034987863061856535,6.021700371978671,7.939007548373595
0001014473,2017-10-26,12130,1014,413,0.08359439406430338,0.03404781533388294,6.0019978429381,7.9013227946648845
0001014473,2017-07-27,11691,969,412,0.08288426995124455,0.03524078350868189,6.203091977848761,7.93054920395812
0001014473,2017-04-27,11107,926,407,0.08337084721346899,0.036643558116503105,6.241634576351646,7.9186555029182175
0001014473,2016-10-27,11209,953,397,0.08502096529574449,0.03541796770452315,5.840710480770214,7.894123082811511
0001014473,2016-07-28,11362,946,382,0.08325998943847913,0.03362084140116177,5.530694942955689,7.760249800909488
0001014473,2016-04-28,10729,891,380,0.08304595022835307,0.03541802591108211,5.61188422968357,7.769803672906318
0000065984,2021-02-26,231815,10080,3107,0.04348294976597718,0.013402929059810624,6.381370681448119,8.803334415615677
0000065984,2020-02-21,214641,7933,2352,0.036959388001360415,0.010957831914685452,6.342217476865361,8.748803584893652
0000065984,2019-02-26,144061,8312,2310,0.057697780801188384,0.016034874115825933,6.147436364907552,8.87316887581738
0000065984,2018-02-26,144830,8275,2319,0.057135952496029825,0.01601187599254298,6.165245560506516,8.82508873759636
0000065984,2017-02-24,148537,8224,2319,0.05536667631633869,0.015612271689881982,6.021286282399615,8.7330697399943
0000065984,2016-02-26,145110,8037,2319,0.055385569567913996,0.015980979946247673,6.1143549752743205,9.373416414111265
0000065984,2021-11-05,101181,3280,857,0.03241715341813186,0.008469969658335063,4.840080955837713,7.156834860503049
