caldt,vwretd
20181029,-0.006748
20181030,0.015740
20181031,0.010898
20181101,0.010772
20181102,-0.006303
20181105,0.005278
20181106,0.006261
20181107,0.021376
20181108,-0.001915
20181109,-0.008872
20181112,-0.019730
20181113,-0.001542
20181114,-0.007426
20181115,0.010784
20181116,0.002068
20181119,-0.016794
20181120,-0.017964
20181121,0.003220
20181123,-0.006254
20181126,0.015662
20181127,0.003142
20181128,0.023219
20181129,-0.002023
20181130,0.008354
20181203,0.011167
20181204,-0.032406
20181206,-0.001166
20181207,-0.023289
20181210,0.001836
20181211,-0.000315
20181212,0.005438
20181213,-0.000162
20181214,-0.018966
20181217,-0.020806
20181218,0.000361
20181219,-0.015413
20181220,-0.015962
20181221,-0.020924
20181224,-0.026911
20181226,0.049762
20181227,0.008541
20181228,-0.001050
20181231,0.008649
20190102,0.001445
20190103,-0.024185
20190104,0.034411
20190107,0.007184
20190108,0.009812
20190109,0.004378
20190110,0.004437
20190111,-0.000186
20190114,-0.005098
20190115,0.010897
20190116,0.002342
20190117,0.007688
20190118,0.013072
20190122,-0.014128
20190123,0.002240
20190124,0.001365
20190125,0.008474
20190128,-0.007767
20190129,-0.001588
20190130,0.015589
20190131,0.009047
20190201,0.000532
20190204,0.006822
20190205,0.004871
20190206,-0.002180
20190207,-0.009075
20190208,0.000921
20190211,0.000694
20190212,0.013018
20190213,0.003121
20190214,-0.002304
20190215,0.010843
20190219,0.001752
20190220,0.001832
20190221,-0.003445
20190222,0.006174
20190225,0.001318
20190226,-0.000786
20190227,-0.000344
20190228,-0.002310
20190301,0.006898
20190304,-0.003768
20190305,-0.001059
20190306,-0.006534
20190307,-0.008000
20190308,-0.002004
20190311,0.014628
20190312,0.002939
20190313,0.007003
20190314,-0.000529
20190315,0.004991
20190318,0.003872
20190319,0.000071
20190320,-0.002928
20190321,0.010964
20190322,-0.018962
20190325,-0.000717
20190326,0.007090
20190327,-0.004685
20190328,0.003732
20190329,0.006741
20190401,0.011517
20190402,-0.000010
20190403,0.002156
20190404,0.002351
20190405,0.004658
20190408,0.001107
20190409,-0.005806
20190410,0.003639
20190411,0.000029
20190412,0.006635
20190415,-0.000535
20190416,0.000547
20190417,-0.002107
20190418,0.001579
20190422,0.001037
20190423,0.008963
20190424,-0.002133
20190425,-0.000425
20190426,0.004754
20190429,0.001062
20190430,0.000885
20190501,-0.007579
20190502,-0.002055
20190503,0.009847
20190506,-0.004217
20190507,-0.016479
20190508,-0.001591
20190509,-0.002655
20190510,0.004079
20190513,-0.024222
20190514,0.008204
20190515,0.006106
20190516,0.009243
20190517,-0.005822
20190520,-0.006675
20190521,0.008451
20190522,-0.002695
20190523,-0.011897
20190524,0.001541
20190528,-0.008258
20190529,-0.006880
20190530,0.002145
20190531,-0.013026
20190603,-0.003774
20190604,0.021461
20190605,0.008292
20190606,0.006412
20190607,0.010711
20190610,0.004890
20190611,-0.000330
20190612,-0.001926
20190613,0.004364
20190614,-0.001489
20190617,0.000955
